date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:48	154442/154442	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:47%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/5g-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/5g-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:48	1035/1035	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263243d9f-40b%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/5G.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/5G.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:49	107408/107408	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:48%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/phones-with-free-gifts	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/phones-with-free-gifts.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:49	2515/2515	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263243dab-9d3%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/gift-bundles.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/gift-bundles.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:50	99868/99868	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:49%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/latest-mobile-phones	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/latest-mobile-phones.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:50	2344/2344	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263243daf-928%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/services.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/services.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:53	295051/295051	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:52%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/sell-my-mobile	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/sell-my-mobile.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:53	3509/3509	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263243daf-db5%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/trade-in.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/trade-in.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:53	96425/96425	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:53%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/business-phone-contracts	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/business-phone-contracts.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:54	1359/1359	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263243dab-54f%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/business.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/business.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
